events,evnum,sum,date,cumsum,logcumsum,css_scaled,log_css_scaled
MV322,322.0,0.0,2013-10-29,28665.0,1846.1966499917917,0.0,0.0
MV323,323.0,0.0,2013-11-21,54635.25,3459.6369180779416,0.0,0.0
MV324,324.0,0.0,2014-01-16,54214.5,3711.2653020486464,0.0,0.0
MV325,325.0,0.0,2014-02-26,49678.5,3370.024232811846,0.0,0.0
MV325_tr3,325.0,0.0,2014-02-26,82903.5,5416.102865889474,0.0,0.0
MV326,326.0,0.0,2014-04-02,66750.75,4569.6400378115,0.0,0.0
MV326_tr,326.0,0.0,2014-04-02,78111.0,5193.012636214167,0.0,0.0
MV326_tr2,326.0,0.0,2014-04-02,108701.75,8116.176018636257,0.0,0.0
MV327,327.0,0.0,2014-05-30,54577.5,3719.1451046282227,0.0,0.0
MV328,328.0,55.0,2014-06-25,50037.0,3400.1490339339443,0.001099186601914583,0.016175761547829993
MV329,329.0,11.0,2014-08-05,47491.25,3066.030130935445,0.00023162161450793566,0.003587701206525294
MV330,330.0,0.0,2014-08-26,35400.0,2300.482065448902,0.0,0.0
MV331,331.0,2.0,2014-09-04,63783.0,4063.6143013342494,3.135631751407115e-5,0.0004921726944762743
MV332,332.0,3.0,2014-09-16,60382.25,3815.457115869212,4.9683474862231864e-5,0.0007862753816632952
MV333,333.0,0.0,2014-10-31,44522.75,2922.6631072065807,0.0,0.0
MV335,335.0,0.0,2014-12-19,35496.75,2316.004091119268,0.0,0.0
MV336,336.0,0.0,2015-03-10,45537.25,3015.321207055965,0.0,0.0
MV336_tr3,336.0,0.0,2015-03-10,89686.0,5976.534720119176,0.0,0.0
MV337,337.0,0.0,2015-03-25,48082.75,2936.1048698862614,0.0,0.0
MV337_tr3,337.0,0.0,2015-03-25,70421.25,4285.659442314558,0.0,0.0
MV338,338.0,0.0,2015-04-02,50847.5,3172.6809155127567,0.0,0.0
MV339,339.0,0.0,2015-04-27,50913.0,2942.0635179287756,0.0,0.0
MV339_tr3,339.0,0.0,2015-04-27,70131.75,4386.210581920797,0.0,0.0
MV340,340.0,0.0,2015-05-19,50387.0,3217.225905563647,0.0,0.0
MV341,341.0,0.0,2015-06-24,62243.5,3905.162542216026,0.0,0.0
MV342,342.0,8.0,2015-07-13,61390.75,4083.725089319705,0.0001303127914221605,0.0019589957269461286
MV343,343.0,5.0,2015-07-23,48412.5,3215.0568945886944,0.00010327911179963853,0.0015551824318927505
MV344,344.0,3.0,2015-07-27,51604.75,3459.623267795317,5.8134183384281484e-5,0.0008671464398815259
MV347,347.0,6.0,2015-08-20,47403.0,3139.7167708440275,0.00012657426745142712,0.001911000398417168
MV348,348.0,0.0,2015-08-27,50583.75,3070.853276568151,0.0,0.0
MV349,349.0,0.0,2015-09-03,52429.5,3387.9512277147874,0.0,0.0
MV350,350.0,2.0,2015-09-18,32724.25,2245.4467826904356,6.111675592259563e-5,0.000890691338319607
MV351,351.0,2.0,2015-10-08,61033.5,4103.273674042428,3.276888921657778e-5,0.00048741569753246733
MV352,352.0,1.0,2015-10-27,51044.5,3228.045080928514,1.9590749248204997e-5,0.0003097850169156746
MV353,353.0,0.0,2015-11-18,37614.5,2377.375105002007,0.0,0.0
MV354,354.0,0.0,2015-12-14,39787.75,2630.40036825138,0.0,0.0
MV355,355.0,0.0,2016-01-29,56741.75,3684.2638056119195,0.0,0.0
MV356,356.0,0.0,2016-03-04,46220.75,3009.0632389017373,0.0,0.0
MV357,357.0,0.0,2016-03-17,52945.0,3585.752201142811,0.0,0.0
MV357_tr3,357.0,0.0,2016-03-17,101008.5,6958.66618425084,0.0,0.0
MV358,358.0,0.0,2016-03-30,48971.75,3153.2567232936362,0.0,0.0
MV358_tr3,358.0,0.0,2016-03-30,94833.0,6150.404929908103,0.0,0.0
MV359,359.0,0.0,2016-04-19,53047.5,3356.266782485797,0.0,0.0
MV360,360.0,0.0,2016-05-26,46841.25,2757.224679049509,0.0,0.0
MV361,361.0,0.0,2016-06-10,52432.75,3274.367628199647,0.0,0.0
MV362,362.0,0.0,2016-06-15,47595.25,2801.0126872185397,0.0,0.0
MV363A,363.0,3.0,2016-06-28,55396.75,3857.953487409736,5.4154801500088e-5,0.0007776143516997729
