Depth,Temperature,Salinity,Oxigen
m,°C,psu,ml/L
283,13.2889,34.8964,0.2948
284,13.274,34.8957,0.2894
285,13.255,34.8951,0.2848
286,13.2204,34.8934,0.2798
287,13.1923,34.8924,0.2756
288,13.1735,34.8912,0.2715
289,13.1519,34.8905,0.2671
290,13.148,34.8904,0.2654
291,13.1432,34.8904,0.2636
292,13.1412,34.8904,0.2628
293,13.137,34.89,0.2612
294,13.1345,34.89,0.2583
295,13.1297,34.8897,0.2564
296,13.1172,34.8892,0.2535
297,13.1043,34.8888,0.2501
298,13.0858,34.8879,0.2463
299,13.0665,34.8872,0.2419
300,13.0554,34.8876,0.2359
301,13.0512,34.8877,0.2323
302,13.0242,34.8854,0.2306
303,13.0026,34.8837,0.2283
304,13.0005,34.8837,0.2265
305,12.989,34.8826,0.2254
306,12.9878,34.8825,0.225
307,12.9758,34.8817,0.2213
308,12.9564,34.8803,0.2192
309,12.9238,34.8787,0.2148
310,12.9161,34.878,0.2103
311,12.8647,34.8748,0.2048
312,12.8096,34.8721,0.2014
313,12.7842,34.8701,0.1935
314,12.7646,34.8691,0.1824
315,12.7025,34.8645,0.1734
316,12.5477,34.8579,0.1654
317,12.5312,34.8562,0.1582
318,12.5213,34.8556,0.1515
319,12.5015,34.8545,0.1464
320,12.4618,34.8521,0.1416
321,12.4202,34.85,0.1385
322,12.4052,34.8493,0.1359
323,12.4038,34.8492,0.1332
324,12.4039,34.8496,0.1324
325,12.3996,34.8496,0.1298
326,12.3783,34.8489,0.1283
327,12.3757,34.8491,0.1271
328,12.3749,34.8497,0.1265
329,12.3676,34.849,0.1263
330,12.3356,34.847,0.1265
331,12.3197,34.8461,0.1267
332,12.3113,34.8454,0.1258
333,12.308,34.8454,0.1267
334,12.3018,34.8447,0.126
335,12.2868,34.8441,0.1262
336,12.2875,34.8442,0.1256
337,12.2867,34.8443,0.1257
338,12.2856,34.8443,0.1258
339,12.2804,34.844,0.125
340,12.2642,34.8428,0.1241
341,12.2446,34.8418,0.1193
342,12.2036,34.8382,0.1127
343,11.9607,34.822,0.1056
344,11.774,34.8136,0.0984
345,11.7549,34.8109,0.0931
346,11.6366,34.8027,0.0886
347,11.5748,34.7999,0.0842
348,11.5472,34.7976,0.0806
349,11.5291,34.7968,0.0769
350,11.5085,34.7959,0.0737
351,11.5552,34.8016,0.0731
352,11.6196,34.8068,0.0759
353,11.5179,34.7994,0.0687
354,11.5085,34.8,0.0666
355,11.5071,34.7993,0.0646
356,11.4153,34.7933,0.0621
357,11.3215,34.7873,0.0569
358,11.2611,34.7839,0.0554
359,11.2206,34.7814,0.0528
360,11.1906,34.7798,0.0519
361,11.1745,34.7793,0.0494
362,11.1687,34.7791,0.0494
363,11.1557,34.7784,0.0478
364,11.147,34.778,0.0466
365,11.1266,34.7769,0.0443
